Title,Actors,Description
"Hello, My Name Is Doris","Sally Field, Max Greenfield, Tyne Daly, Wendi McLendon-Covey",A self-help seminar inspires a sixty-something woman to romantically pursue her younger co-worker.
Ocean's Thirteen,"George Clooney, Brad Pitt, Matt Damon,Michael Mantell","Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
Slither,"Nathan Fillion, Elizabeth Banks, Michael Rooker, Don Thompson","A small town is taken over by an alien plague, turning residents into zombies and all forms of mutant monsters."
Contagion,"Matt Damon, Kate Winslet, Jude Law, Gwyneth Paltrow","Healthcare professionals, government officials and everyday people find themselves in the midst of a worldwide epidemic as the CDC works to find a cure."
Il racconto dei racconti - Tale of Tales,"Salma Hayek, Vincent Cassel, Toby Jones, John C. Reilly","From the bitter quest of the Queen of Longtrellis, to two mysterious sisters who provoke the passion of a king, to the King of Highhills obsessed with a giant Flea, these tales are inspired by the fairytales by Giambattista Basile."
I Am the Pretty Thing That Lives in the House,"Ruth Wilson, Paula Prentiss, Lucy Boynton, Bob Balaban",A young nurse takes care of elderly author who lives in a haunted house.
Bridge to Terabithia,"Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick",A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.
Coherence,"Emily Baldoni, Maury Sterling, Nicholas Brendon, Elizabeth Gracen",Strange things begin to happen when a group of friends gather for a dinner party on an evening when a comet is passing overhead.
Notorious,"Jamal Woolard, Anthony Mackie, Derek Luke,Momo Dione","The life and death story of Notorious B.I.G. (a.k.a. Christopher Wallace), who came straight out of Brooklyn to take the world of rap music by storm."
Goksung,"Jun Kunimura, Jung-min Hwang, Do-won Kwak, Woo-hee Chun",A stranger arrives in a little village and soon after a mysterious sickness starts spreading. A policeman is drawn into the incident and is forced to solve the mystery in order to save his daughter.
The Expendables 2,"Sylvester Stallone, Liam Hemsworth, Randy Couture,Jean-Claude Van Damme","Mr. Church reunites the Expendables for what should be an easy paycheck, but when one of their men is murdered on the job, their quest for revenge puts them deep in enemy territory and up against an unexpected threat."
The Girl Next Door,"William Atherton, Blythe Auffarth, Blanche Baker,Kevin Chamberlin","Based on the Jack Ketchum novel of the same name, The Girl Next Door follows the unspeakable torture and abuses committed on a teenage girl in the care of her aunt...and the boys who witness and fail to report the crime."
Perfume: The Story of a Murderer,"Ben Whishaw, Dustin Hoffman, Alan Rickman,Francesc Albiol","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
The Golden Compass,"Nicole Kidman, Daniel Craig, Dakota Blue Richards, Ben Walker","In a parallel universe, young Lyra Belacqua journeys to the far North to save her best friend and other kidnapped children from terrible experiments by a mysterious organization."
Centurion,"Michael Fassbender, Dominic West, Olga Kurylenko,Andreas Wisniewski",A splinter group of Roman soldiers fight for their lives behind enemy lines after their legion is decimated in a devastating guerrilla attack.
Scouts Guide to the Zombie Apocalypse,"Tye Sheridan, Logan Miller, Joey Morgan,Sarah Dumont","Three scouts, on the eve of their last camp-out, discover the true meaning of friendship when they attempt to save their town from a zombie outbreak."
17 Again,"Zac Efron, Matthew Perry, Leslie Mann, Thomas Lennon",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
No Escape,"Lake Bell, Pierce Brosnan, Owen Wilson,Chatchawai Kamonsakpitak","In their new overseas home, an American family soon finds themselves caught in the middle of a coup, and they frantically look for a safe escape from an environment where foreigners are being immediately executed."
Superman Returns,"Brandon Routh, Kevin Spacey, Kate Bosworth, James Marsden","Superman reappears after a long absence, but is challenged by an old foe who uses Kryptonian technology for world domination."
The Twilight Saga: Breaking Dawn - Part 1,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Gil Birmingham","The Quileutes close in on expecting parents Edward and Bella, whose unborn child poses a threat to the Wolf Pack and the towns people of Forks."
Precious,"Gabourey Sidibe, Mo'Nique, Paula Patton, Mariah Carey","In New York City's Harlem circa 1987, an overweight, abused, illiterate teen who is pregnant with her second child is invited to enroll in an alternative school in hopes that her life can head in a new direction."
The Sea of Trees,"Matthew McConaughey, Naomi Watts, Ken Watanabe,Ryoko Seta",A suicidal American befriends a Japanese man lost in a forest near Mt. Fuji and the two search for a way out.
Good Kids,"Zoey Deutch, Nicholas Braun, Mateo Arias, Israel Broussard",Four high school students look to redefine themselves after graduation.
The Master,"Philip Seymour Hoffman, Joaquin Phoenix,Amy Adams, Jesse Plemons",A Naval veteran arrives home from war unsettled and uncertain of his future - until he is tantalized by The Cause and its charismatic leader.
Footloose,"Kenny Wormald, Julianne Hough, Dennis Quaid,Andie MacDowell","City teenager Ren MacCormack moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
If I Stay,"Chloë Grace Moretz, Mireille Enos, Jamie Blackley,Joshua Leonard","Life changes in an instant for young Mia Hall after a car accident puts her in a coma. During an out-of-body experience, she must decide whether to wake up and live a life far different than she had imagined. The choice is hers if she can go on."
The Ticket,"Dan Stevens, Malin Akerman, Oliver Platt, Kerry Bishé",A blind man who regains his vision finds himself becoming metaphorically blinded by his obsession for the superficial.
Detour,"Tye Sheridan, Emory Cohen, Bel Powley,Stephen Moyer","A young law student blindly enters into a pact with a man who offers to kill his stepfather, whom he feels is responsible for the accident that sent his mother into a coma."
The Love Witch,"Samantha Robinson, Jeffrey Vincent Parise, Laura Waddell, Gian Keys",A modern-day witch uses spells and magic to get men to fall in love with her.
Talladega Nights: The Ballad of Ricky Bobby,"Will Ferrell, John C. Reilly, Sacha Baron Cohen, Gary Cole","#1 NASCAR driver Ricky Bobby stays atop the heap thanks to a pact with his best friend and teammate, Cal Naughton, Jr. But when a French Formula One driver, makes his way up the ladder, Ricky Bobby's talent and devotion are put to the test."
The Human Centipede (First Sequence),"Dieter Laser, Ashley C. Williams, Ashlynn Yennie, Akihiro Kitamura","A mad scientist kidnaps and mutilates a trio of tourists in order to reassemble them into a human centipede, created by stitching their mouths to each others' rectums."
Super,"Rainn Wilson, Ellen Page, Liv Tyler, Kevin Bacon","After his wife falls under the influence of a drug dealer, an everyday guy transforms himself into Crimson Bolt, a superhero with the best intentions, but lacking in heroic skills."
The Siege of Jadotville,"Jamie Dornan, Mark Strong, Jason O'Mara, Michael McElhatton",Irish Commandant Pat Quinlan leads a stand off with troops against French and Belgian Mercenaries in the Congo during the early 1960s.
Up in the Air,"George Clooney, Vera Farmiga, Anna Kendrick,Jason Bateman","Ryan Bingham enjoys living out of a suitcase for his job traveling around the country firing people, but finds that lifestyle threatened by the presence of a potential love interest and a new hire."
The Midnight Meat Train,"Vinnie Jones, Bradley Cooper, Leslie Bibb, Brooke Shields","A photographer's obsessive pursuit of dark subject matter leads him into the path of a serial killer who stalks late night commuters, ultimately butchering them in the most gruesome ways imaginable."
The Twilight Saga: Eclipse,"Kristen Stewart, Robert Pattinson, Taylor Lautner,Xavier Samuel","As a string of mysterious killings grips Seattle, Bella, whose high school graduation is fast approaching, is forced to choose between her love for vampire Edward and her friendship with werewolf Jacob."
Transpecos,"Johnny Simmons, Gabriel Luna, Clifton Collins Jr.,David Acord","For three Border Patrol agents working a remote desert checkpoint, the contents of one car will reveal an insidious plot within their own ranks. The next 24 hours will take them on a treacherous journey that could cost them their lives."
What's Your Number?,"Anna Faris, Chris Evans, Ari Graynor, Blythe Danner",A woman looks back at the past nineteen men she's had relationships with in her life and wonders if one of them might be her one true love.
Riddick,"Vin Diesel, Karl Urban, Katee Sackhoff, Jordi Mollà","Left for dead on a sun-scorched planet, Riddick finds himself up against an alien race of predators. Activating an emergency beacon alerts two ships: one carrying a new breed of mercenary, the other captained by a man from Riddick's past."
Triangle,"Melissa George, Joshua McIvor, Jack Taylor,Michael Dorman","The story revolves around the passengers of a yachting trip in the Atlantic Ocean who, when struck by mysterious weather conditions, jump to another ship only to experience greater havoc on the open seas."
The Butler,"Forest Whitaker, Oprah Winfrey, John Cusack, Jane Fonda","As Cecil Gaines serves eight presidents during his tenure as a butler at the White House, the civil rights movement, Vietnam, and other major events affect this man's life, family, and American society."
King Cobra,"Garrett Clayton, Christian Slater, Molly Ringwald,James Kelley","This ripped-from-the-headlines drama covers the early rise of gay porn headliner Sean Paul Lockhart a.k.a. Brent Corrigan, before his falling out with the producer who made him famous. When... See full summary »"
After Earth,"Jaden Smith, David Denman, Will Smith,Sophie Okonedo","A crash landing leaves Kitai Raige and his father Cypher stranded on Earth, a millennium after events forced humanity's escape. With Cypher injured, Kitai must embark on a perilous journey to signal for help."
